case_uid,target,tool,priority,priority_reason,case_kind,status_label,run_dir,run_id,mode,input_bc,input_ll,raw_artifact,raw_row_or_line,reported_file,reported_line,reported_column,location_validity,source_region,project_source_only,header_context,ir_function,ir_instruction,ir_line,ir_snippet,source_snippet,message,root_cause_hint,confidence,needs_manual_review,manual_verdict,evidence_files,notes
seahorn.flatbuffers.O2g.000001,flatbuffers,seahorn,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix,run_20260320_190038_fixed_fullmatrix,term,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/flatbuffers/LLVM14-O2-g/artifacts/flatbuffers_flatc_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/flatbuffers/LLVM14-O2-g/artifacts/flatbuffers_flatc_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.term.stderr.log,3713,/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h,205,11,valid,system_header,0,system_header,,,,"%164 = shufflevector <2 x %""struct.flatbuffers::FieldDef""*> %163, <2 x %""struct.flatbuffers::FieldDef""*> poison, <2 x i32> <i32 1, i32 0>, !dbg !100549"," 203: #endif
 204:       _Tp __tmp = _GLIBCXX_MOVE(__a);
>205:       __a = _GLIBCXX_MOVE(__b);
 206:       __b = _GLIBCXX_MOVE(__tmp);
 207:     }",Possible read of undefined value at,external_or_unresolved_source_location,0.40,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.term.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/report/final_report.md,resolved_source=/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h;source_resolution=exact;all_cases_case_id=3713;all_cases_step=16;all_cases_name=term;collected_from=all_cases.undefined_read_block;resolved_source=/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h
seahorn.flatbuffers.O2g.000002,flatbuffers,seahorn,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix,run_20260320_190038_fixed_fullmatrix,term,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/flatbuffers/LLVM14-O2-g/artifacts/flatbuffers_flatc_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/flatbuffers/LLVM14-O2-g/artifacts/flatbuffers_flatc_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.term.stderr.log,3714,/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h,205,11,valid,system_header,0,system_header,,,,"%164 = shufflevector <2 x %""struct.flatbuffers::StructDef""*> %163, <2 x %""struct.flatbuffers::StructDef""*> poison, <2 x i32> <i32 1, i32 0>, !dbg !100549"," 203: #endif
 204:       _Tp __tmp = _GLIBCXX_MOVE(__a);
>205:       __a = _GLIBCXX_MOVE(__b);
 206:       __b = _GLIBCXX_MOVE(__tmp);
 207:     }",Possible read of undefined value at,external_or_unresolved_source_location,0.40,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.term.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/report/final_report.md,resolved_source=/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h;source_resolution=exact;all_cases_case_id=3714;all_cases_step=16;all_cases_name=term;collected_from=all_cases.undefined_read_block;resolved_source=/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h
seahorn.flatbuffers.O2g.000003,flatbuffers,seahorn,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix,run_20260320_190038_fixed_fullmatrix,term,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/flatbuffers/LLVM14-O2-g/artifacts/flatbuffers_flatc_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/flatbuffers/LLVM14-O2-g/artifacts/flatbuffers_flatc_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.term.stderr.log,3715,/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h,205,11,valid,system_header,0,system_header,,,,"%164 = shufflevector <2 x %""struct.flatbuffers::EnumDef""*> %163, <2 x %""struct.flatbuffers::EnumDef""*> poison, <2 x i32> <i32 1, i32 0>, !dbg !100549"," 203: #endif
 204:       _Tp __tmp = _GLIBCXX_MOVE(__a);
>205:       __a = _GLIBCXX_MOVE(__b);
 206:       __b = _GLIBCXX_MOVE(__tmp);
 207:     }",Possible read of undefined value at,external_or_unresolved_source_location,0.40,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/sea.term.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/report/final_report.md,resolved_source=/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h;source_resolution=exact;all_cases_case_id=3715;all_cases_step=16;all_cases_name=term;collected_from=all_cases.undefined_read_block;resolved_source=/usr/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h
seahorn.lepton.O2g.000001,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,1,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %26, i1 zeroext undef) #43, !dbg !29306"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=1;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
seahorn.lepton.O2g.000002,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,2,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %26, i1 zeroext undef) #43, !dbg !29304"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=2;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
seahorn.lepton.O2g.000003,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,3,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %62, i1 zeroext undef) #43, !dbg !29369"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=3;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
seahorn.lepton.O2g.000004,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,4,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %76, i1 zeroext undef) #43, !dbg !29375"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=4;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
seahorn.lepton.O2g.000005,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,5,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %2, i1 zeroext undef) #43, !dbg !29264"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=5;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
seahorn.lepton.O2g.000006,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,6,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %2, i1 zeroext undef) #43, !dbg !29266"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=6;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
seahorn.lepton.O2g.000007,lepton,seahorn,P1,ValidBitcodeSourceMappingNeedsSemanticReview,IRSourceSemanticCandidate,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix,run_20260320_200050_fixed_fullmatrix,crab_instrument,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/lepton/LLVM14-O2-g/lepton_artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log,7,Target/lepton/src/io/MemMgrAllocator.cc,439,5,valid,project_source,1,not_header,,,,"tail call void @_ZN8Sirikata18memmgr_free_helperEPvb(i8* noundef %34, i1 zeroext undef) #43, !dbg !29472"," 437: //
 438: void memmgr_free(void* ap){
>439:     memmgr_free_helper(ap, true);
 440: }
 441: ",Possible read of undefined value at,optimized_ir_undefined_read_mapping_candidate,0.65,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.crab.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/report/final_report.md,resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc;source_resolution=exact;all_cases_case_id=7;all_cases_step=14;all_cases_name=crab_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/lepton/src/io/MemMgrAllocator.cc
