case_id,source_mode,file,line,column,message,bitcode_snippet,log_file
1,smc_typeoff,Target/zfp/include/zfp/bitstream.inl,0,0,Possible read of undefined value at,"%31 = phi i64 [ %22, %25 ], [ %22, %24 ], [ poison, %28 ], !dbg !401",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
2,smc_typeoff,Target/zfp/src/template/encodef.c,57,25,Possible read of undefined value at,"%46 = insertelement <2 x float> poison, float %43, i64 0, !dbg !478",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
3,smc_typeoff,Target/zfp/src/template/encodef.c,57,25,Possible read of undefined value at,"%47 = shufflevector <2 x float> %46, <2 x float> poison, <2 x i32> zeroinitializer, !dbg !478",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
4,smc_typeoff,Target/zfp/src/template/codecf.c,30,28,Possible read of undefined value at,"%59 = insertelement <4 x float> poison, float %56, i64 0, !dbg !528",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
5,smc_typeoff,Target/zfp/src/template/codecf.c,30,28,Possible read of undefined value at,"%60 = shufflevector <4 x float> %59, <4 x float> poison, <4 x i32> zeroinitializer, !dbg !528",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
6,smc_typeoff,Target/zfp/src/template/encode.c,50,5,Possible read of undefined value at,"%208 = insertelement <2 x i32> poison, i32 %207, i64 0, !dbg !619",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
7,smc_typeoff,Target/zfp/src/template/encode.c,50,5,Possible read of undefined value at,"%210 = insertelement <2 x i32> poison, i32 %205, i64 0, !dbg !619",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
8,smc_typeoff,Target/zfp/src/template/encode.c,50,18,Possible read of undefined value at,"%215 = insertelement <2 x i32> poison, i32 %206, i64 0, !dbg !621",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
9,smc_typeoff,Target/zfp/src/template/encode.c,78,19,Possible read of undefined value at,"%219 = shufflevector <2 x i32> %214, <2 x i32> undef, <4 x i32> <i32 1, i32 undef, i32 undef, i32 undef>, !dbg !627",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
10,smc_typeoff,Target/zfp/src/template/encode.c,78,19,Possible read of undefined value at,"%220 = shufflevector <2 x i32> %217, <2 x i32> poison, <4 x i32> <i32 0, i32 1, i32 undef, i32 undef>, !dbg !627",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/log/sea.smc.stats.typeoff.stderr.log
